id,release_date,revenue,runtime,title
750,1961-01-01,0.0,87.0,Murder She Said
762,1975-03-13,5028948.0,91.0,Monty Python and the Holy Grail
780,1928-04-21,0.0,110.0,The Passion of Joan of Arc
784,1996-05-05,5770254.0,105.0,Kolya
786,2000-09-15,4.7383689E7,122.0,Almost Famous
788,1993-11-24,4.41286195E8,125.0,Mrs. Doubtfire
799,1999-03-11,0.0,107.0,Annaluise & Anton
800,1950-11-09,0.0,85.0,Los Olvidados
802,1962-06-13,9250000.0,153.0,Lolita
803,1955-01-01,0.0,32.0,Night and Fog
804,1953-09-02,1.2E7,119.0,Roman Holiday
832,1931-05-11,0.0,117.0,M
836,1963-08-22,0.0,115.0,Barren Lives
851,1945-11-24,0.0,86.0,Brief Encounter
858,1993-06-24,2.27799884E8,105.0,Sleepless in Seattle
899,1919-05-13,0.0,90.0,Broken Blossoms
903,1967-06-22,1.6217773E7,126.0,Cool Hand Luke
909,1944-11-23,0.0,113.0,Meet Me in St. Louis
910,1946-08-23,0.0,116.0,The Big Sleep
911,1940-11-29,0.0,72.0,The Bank Dick
912,1968-06-19,0.0,102.0,The Thomas Crown Affair
913,1999-08-06,1.24305181E8,113.0,The Thomas Crown Affair
916,1968-10-17,4.2300873E7,113.0,Bullitt
920,2006-06-08,4.61983149E8,117.0,Cars
922,1995-12-23,0.0,121.0,Dead Man
924,2004-03-19,1.02356381E8,101.0,Dawn of the Dead
926,1999-12-23,9.0683916E7,102.0,Galaxy Quest
931,1973-12-03,0.0,110.0,Don"t Look Now
953,2005-05-25,5.32680671E8,86.0,Madagascar
994,1971-12-29,3251794.0,118.0,Straw Dogs
1073,1999-03-19,0.0,117.0,Arlington Road
1088,2003-01-30,4.14E7,101.0,Whale Rider
1092,1949-08-31,596349.0,104.0,The Third Man
1093,1958-01-29,263404.0,88.0,Elevator to the Gallows
1213,1999-12-25,1.28798265E8,139.0,The Talented Mr. Ripley
1244,2007-02-01,0.0,114.0,Eight Miles High
1246,2006-12-20,1.55721132E8,102.0,Rocky Balboa
1247,2006-12-11,5.9908565E7,167.0,The Good Shepherd
1248,2007-02-06,8.2169884E7,121.0,Hannibal Rising
