id,genre_name
5279,Thriller
5319,Drama
5319,Romance
5458,Drama
5458,Romance
5458,Thriller
5481,Horror
5481,Thriller
5528,Drama
5618,Romance
5618,Comedy
5620,Horror
5816,Comedy
5902,Drama
5902,History
5902,War
5956,Drama
5956,Thriller
5956,Horror
5968,Comedy
5968,Romance
5991,Drama
5995,Comedy
5995,Drama
6003,Drama
6003,Romance
6016,Crime
6016,Drama
6016,Thriller
6037,Comedy
6037,Crime
6037,Mystery
6037,Thriller
6283,Comedy
6283,Family
6373,Comedy
6373,Romance
6440,Drama
6440,Romance
6537,Horror
6537,Drama
6537,Thriller
6547,History
6547,Comedy
6552,Thriller
6552,Comedy
6552,Horror
6593,Action
6593,Drama
6593,Fantasy
6593,Foreign
6593,ScienceFiction
6620,Comedy
6620,Drama
6620,Romance
6641,Comedy
6641,Romance
6934,Drama
6936,Drama
6947,Drama
6947,Mystery
6947,Thriller
6957,Comedy
6957,Romance
6961,Comedy
6961,Romance
6978,Action
6978,Adventure
6978,Comedy
6978,Fantasy
7008,Action
7008,Adventure
7008,Drama
7008,Thriller
7010,Action
7010,Thriller
7010,War
7090,Drama
7346,Thriller
7348,Drama
7348,ScienceFiction
7445,Drama
7445,Thriller
7445,War
7451,Action
7451,Adventure
7451,Thriller
7484,Adventure
7484,Animation
7484,Family
8011,Action
8011,Fantasy
8011,ScienceFiction
8366,Comedy
8366,Western
8368,Drama
8464,Horror
8464,Comedy
8464,ScienceFiction
8645,Thriller
8645,ScienceFiction
8665,Drama
8665,History
8665,Thriller
8874,Comedy
8874,Romance
8914,Action
8914,ScienceFiction
8914,Thriller
8930,Documentary
8948,Drama
8961,Adventure
8961,Action
8961,Comedy
8961,Thriller
8961,Crime
8970,Comedy
8974,Horror
8974,ScienceFiction
8974,Thriller
8984,Drama
8984,Thriller
8984,Crime
8984,Mystery
8984,Romance
26131,TVMovie
26131,Drama
26131,Romance
26131,Western
26152,Comedy
26587,Horror
26587,Drama
26587,Thriller
26810,Drama
30707,Drama
30810,Crime
30810,Drama
31685,Romance
31685,Drama
31685,Horror
31696,Mystery
31696,Thriller
31696,Crime
33166,Drama
34334,Drama
34334,Romance
35957,Thriller
35957,Drama
36529,Horror
36529,ScienceFiction
40815,Drama
40815,Adventure
42718,Drama
42718,Romance
44004,Action
44004,Comedy
44004,Drama
44555,Comedy
44555,Drama
44555,Thriller
45186,Action
45186,Comedy
45186,Crime
45186,Drama
45722,Drama
45722,Romance
46578,Comedy
46578,Crime
46972,Comedy
46972,Drama
46972,Family
46976,Comedy
46976,Drama
46976,Foreign
46976,Romance
47610,Crime
47610,Drama
48385,Crime
48385,Horror
48385,ScienceFiction
48780,Foreign
51540,Comedy
51540,Crime
54001,Drama
54272,Adventure
54272,Action
54272,Drama
54503,Action
54503,Foreign
55765,Action
55765,Adventure
55765,Crime
55765,Drama
55765,Foreign
59126,Documentary
59126,Music
63859,Comedy
63859,Family
63859,Fantasy
63859,Music
65642,Comedy
65642,Drama
67087,Crime
67087,Horror
67087,Thriller
68954,TVMovie
68954,Drama
68954,History
69526,Thriller
69526,Crime
69526,Comedy
69526,Action
69526,Adventure
70862,Documentary
70862,History
71282,Adventure
71282,Action
71282,Romance
74458,Drama
74458,Comedy
74458,Romance
77561,ScienceFiction
81229,Comedy
81847,Action
81847,War
81847,Drama
83613,Comedy
83613,Horror
83827,Crime
83827,Drama
84152,Horror
84152,Thriller
84152,ScienceFiction
84152,Action
84152,Fantasy
84954,Thriller
84954,Drama
85414,Action
85414,Thriller
86190,Comedy
86332,Horror
88744,Documentary
88744,Foreign
88950,Action
88950,Thriller
89492,Comedy
90603,Documentary
93840,Thriller
93840,Action
94478,Comedy
94478,Music
94478,Romance
94478,Foreign
94959,Drama
98122,Action
98122,Drama
98122,Horror
100032,Drama
100032,Action
101362,Comedy
101362,Adventure
101362,Crime
104211,Romance
104211,Fantasy
104241,Drama
104241,Foreign
107406,Drama
110553,Comedy
111443,Drama
111443,Thriller
111759,Western
111759,Adventure
111759,Romance
122924,Action
122924,Thriller
130452,Comedy
130452,Music
130452,Romance
140174,Action
140174,Horror
140174,Thriller
142507,Drama
337,Drama
4772,Thriller
4772,Comedy
4772,Drama
194,Comedy
194,Romance
348,Horror
348,Action
348,Thriller
348,ScienceFiction
482,Adventure
482,Action
482,Thriller
482,Crime
492,Fantasy
492,Drama
492,Comedy
714,Adventure
714,Action
714,Thriller
928,Comedy
928,Horror
928,Fantasy
942,Action
942,Adventure
942,Comedy
942,Crime
942,Thriller
965,Romance
965,Drama
1245,Drama
1245,Romance
1255,Horror
1255,Drama
1255,ScienceFiction
1411,Mystery
1411,Drama
1627,Drama
1809,Comedy
1809,Drama
1809,Romance
2021,Comedy
2021,Drama
2021,Romance
2023,Western
2023,Adventure
2067,ScienceFiction
2110,Drama
2110,Action
2110,Comedy
2117,Drama
2117,History
2118,Crime
2118,Drama
2118,Mystery
2118,Thriller
2204,Drama
2892,Drama
4437,Thriller
4437,ScienceFiction
4552,Drama
4552,Horror
4552,Mystery
5062,Crime
5062,Drama
5062,Mystery
5062,Thriller
5072,Horror
5072,Comedy
5072,Thriller
5137,Mystery
5137,Action
5137,Thriller
5137,ScienceFiction
5137,Adventure
5608,Drama
5608,Adventure
5608,Fantasy
5686,Comedy
5686,Drama
5686,Romance
5881,Comedy
6538,Comedy
6538,Drama
6538,History
6643,Romance
6643,Western
6643,Drama
8195,Action
8195,Thriller
8195,Crime
8195,Adventure
8690,Adventure
8690,Horror
8973,Mystery
8973,Horror
8973,Thriller
8983,Animation
8983,Mystery
8983,Thriller
27317,Comedy
27721,Drama
27834,Comedy
27834,Drama
27834,ScienceFiction
31410,Comedy
31952,Horror
18,Adventure
18,Fantasy
18,Action
18,Thriller
18,ScienceFiction
74,Adventure
74,Thriller
74,ScienceFiction
76,Drama
76,Romance
